database,query_id,row_time,col_time,gap,use_imci,cost_threshold_label,hybrid_optimizer_label,fann_model_label,sqlQuery
hybench_sf10,953,2.281705,13.615329,11.333623,0,1,0,1,"SELECT COUNT(*) as agg_0, MIN(checking.targetID) as agg_1 FROM savingAccount JOIN customer ON savingAccount.userID = customer.custID JOIN checking ON customer.custID = checking.targetID JOIN transfer ON customer.custID = transfer.targetID JOIN company ON customer.companyID = company.companyID JOIN loanapps ON customer.custID = loanapps.applicantID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN checkingAccount ON customer.custID = checkingAccount.userID  WHERE transfer.type IN ('donate', 'service', 'transfer', 'salary', 'invest') AND (customer.gender = 'male' OR (customer.gender = 'male' AND customer.gender LIKE '%m%ale%')) AND customer.checking_credit >= 0.0 AND (customer.name = 'Bai Xinyang' OR (customer.age <= 27.937824116404194 AND customer.name IN ('Liu Jing', 'Cai Bo', 'Zhou Xiuzhen', 'Cai Ping', 'Lin Yize', 'Yang Min', 'He Yutong', 'Yu Yimo', 'Fu Yutong', 'Zhu Dan'))) AND customer.city LIKE '%Shanghai%' LIMIT 1000;"
hybench_sf10,954,0.269716,13.301669,13.031953,0,1,0,1,"SELECT SUM(customer.age + company.checking_credit) as agg_0 FROM company JOIN customer ON company.companyID = customer.companyID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN checking ON customer.custID = checking.sourceID JOIN transfer ON customer.custID = transfer.targetID JOIN loanapps ON loantrans.appID = loanapps.id  WHERE transfer.type IN ('invest', 'donate', 'service', 'red_packet', 'business', 'transfer', 'salary') AND transfer.type NOT LIKE '%transf%er%' AND loanapps.id <= 436670.29202407436 AND transfer.targetID >= 91614.45626683123 AND company.loan_balance >= 1000000.0 AND loantrans.duration <= 365.0 AND checking.id <= 234013.6916060721 AND company.province LIKE '%L%iaoning%' AND (checking.sourceID >= 301543.62372759444 OR (checking.sourceID >= 301694.72620686254 AND checking.sourceID >= 301577.99359762523)) AND customer.city = 'Hami';"
hybench_sf10,165,1.956537,54.763663,52.807126,0,1,0,1,"SELECT MIN(company.loan_balance) as agg_0 FROM company JOIN customer ON company.companyID = customer.companyID JOIN transfer ON customer.custID = transfer.sourceID  WHERE customer.saving_credit >= 0.0 AND (customer.name IN ('Xu Yimo', 'Xiao Xinning', 'Mao Juan', 'Cao Bo', 'Tang Pengfei', 'Duan Ling', 'Fu Fang', 'Qin Xiulan') OR customer.name = 'Kong Lanying');"
hybench_sf10,241,1.800581,12.980784,11.180202,0,1,0,1,"SELECT company.city, checking.type, company.name, MAX(checking.amount) as agg_0, SUM(checking.sourceID) as agg_1, MIN(loanapps.amount + loantrans.id) as agg_2 FROM checkingAccount JOIN customer ON checkingAccount.userID = customer.custID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN loanapps ON loantrans.appID = loanapps.id JOIN transfer ON customer.custID = transfer.targetID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN checking ON customer.custID = checking.sourceID JOIN company ON customer.companyID = company.companyID  WHERE loanapps.status IN ('under_review') AND loanapps.status IN ('under_review') AND company.category NOT LIKE '%mining_au%xiliary%' AND (transfer.type IN ('invest', 'business') OR transfer.targetID <= 212438.08639036794 OR transfer.type LIKE '%d%onate%') AND loanapps.loanapps_ts LIKE '%2%023-10-19%' AND transfer.type != 'transfer' AND loantrans.status LIKE '%under_review%' AND savingAccount.balance <= 2000.0 AND savingAccount.userID >= 61886.255063138 AND company.province IN ('Inner_Mongolia') AND checkingAccount.Isblocked <= 0.0 AND checking.amount <= 20.644207400797725 GROUP BY company.city, checking.type, company.name ORDER BY company.city, checking.type, company.name LIMIT 1000;"
hybench_sf10,578,2.107394,12.805832,10.698437,0,1,1,1,"SELECT customer.gender, company.last_update_timestamp, company.category, MIN(checkingAccount.accountID + customer.age) as agg_0 FROM transfer JOIN customer ON transfer.targetID = customer.custID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN company ON customer.companyID = company.companyID JOIN checking ON customer.custID = checking.targetID  WHERE (transfer.type IN ('red_packet', 'donate', 'service', 'business', 'invest') OR transfer.targetID <= 123939.71966888352 OR transfer.type LIKE '%d%onate%') AND customer.name IN ('Lu Deming', 'Ren Bo', 'Shen Yuxing', 'Zhang Yuxing', 'Fang Deming', 'Tang Jianguo', 'Kong Zhiming', 'Long Qian', 'Xue Feng', 'Zou Na') AND checking.type NOT LIKE '%red_packet%' AND customer.province LIKE '%Yunn%an%' GROUP BY customer.gender, company.last_update_timestamp, company.category ORDER BY customer.gender, company.last_update_timestamp, company.category;"
hybench_sf10,1120,0.332456,11.091217,10.758761,0,1,0,1,"SELECT transfer.fresh_ts, COUNT(*) as agg_0, MAX(savingAccount.userID + customer.checking_credit) as agg_1, SUM(savingAccount.Isblocked) as agg_2 FROM savingAccount JOIN customer ON savingAccount.userID = customer.custID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.sourceID JOIN checking ON customer.custID = checking.targetID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN loanapps ON loantrans.appID = loanapps.id  WHERE loantrans.delinquency >= 0.0 AND checking.id >= 354815.4870222335 AND loanapps.status IN ('under_review') AND checkingAccount.userID <= 208705.39477456996 AND customer.saving_credit >= 0.0 AND (company.saving_credit >= 0.0 OR (company.province IN ('Gansu', 'Jilin', 'Chongqing', 'Guangdong', 'Guangxi') AND company.saving_credit <= 0.0)) AND loantrans.loantrans_ts LIKE '%2023-10-21%' AND company.Isblocked >= 0.0 AND customer.name != 'Tang Pengfei' GROUP BY transfer.fresh_ts ORDER BY transfer.fresh_ts LIMIT 1000;"
hybench_sf10,1203,3.134485,25.130835,21.996350,0,1,0,1,"SELECT loanapps.status, company.name, SUM(loantrans.duration) as agg_0, MIN(customer.saving_credit + loantrans.id) as agg_1, AVG(transfer.sourceID + savingAccount.Isblocked) as agg_2 FROM savingAccount JOIN customer ON savingAccount.userID = customer.custID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.sourceID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN loanapps ON loantrans.appID = loanapps.id JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN checking ON customer.custID = checking.sourceID  WHERE customer.province LIKE '%Hebei%' AND loanapps.status IN ('under_review', 'reject', 'accept') AND loantrans.applicantID >= 300811.84176411637 AND customer.city NOT LIKE '%Chongqing%' AND checking.targetID <= 224228.5644159921 AND (checking.amount >= 697.7419909650522 OR checking.amount <= 619.1227881562361) AND loanapps.id >= 272380.09500482003 AND customer.gender IN ('female', 'male') AND customer.loan_balance >= 10000.0 AND (transfer.type LIKE '%red_%packet%' OR transfer.type = 'business') AND loantrans.loantrans_ts NOT LIKE '%2023-11%-15%' AND company.Isblocked <= 0.0 AND transfer.amount <= 19.949384428439807 GROUP BY loanapps.status, company.name ORDER BY loanapps.status, company.name;"
credit,90,80.439059,11.362015,69.077044,1,1,1,0,"SELECT payment.payment_dt, member.lastname, AVG(member.region_no + region.region_no) as agg_0, MIN(payment.payment_no) as agg_1 FROM provider JOIN region ON provider.region_no = region.region_no JOIN corporation ON region.region_no = corporation.region_no JOIN member ON region.region_no = member.region_no JOIN charge ON member.member_no = charge.member_no JOIN statement ON member.member_no = statement.member_no JOIN payment ON member.member_no = payment.member_no JOIN category ON charge.category_no = category.category_no  WHERE corporation.city = ' ' AND payment.payment_dt = '1999-09-02 00:00:00' AND corporation.street = ' ' AND provider.provider_no >= 246.34963471119679 AND payment.payment_no >= 2328.6204301072485 AND statement.due_dt != '1999-09-02 00:00:00' AND corporation.corp_name LIKE '%M%akersCorp.%' GROUP BY payment.payment_dt, member.lastname ORDER BY payment.payment_dt, member.lastname;"
credit,306,374.314186,0.104666,374.209521,1,1,1,0,"SELECT region.mail_code, member.mail_code, member.state_prov, AVG(provider.region_no) as agg_0, SUM(statement.statement_amt + member.region_no) as agg_1, AVG(provider.provider_no) as agg_2 FROM corporation JOIN region ON corporation.region_no = region.region_no JOIN provider ON region.region_no = provider.region_no JOIN member ON region.region_no = member.region_no JOIN statement ON member.member_no = statement.member_no JOIN payment ON member.member_no = payment.member_no JOIN charge ON member.member_no = charge.member_no JOIN category ON charge.category_no = category.category_no  WHERE provider.provider_name IN ('Prov. Apex Mach', 'Prov. Expert Re', 'Prov. Boston Ne', 'Prov. Expert Sa', 'Prov. Boston Pe', 'Prov. Apex Key') AND corporation.expr_dt NOT LIKE '%20%04-10-12%' AND statement.due_dt LIKE '%1999-10-03%' AND payment.payment_amt <= 18238.75260494779 AND corporation.street != ' ' AND (member.issue_dt LIKE '%1999-10-13%' OR member.lastname LIKE '%UNAKLET%' OR member.issue_dt NOT LIKE '%1999-10-13%') AND region.street IN ('777 Seventh St', '333 Third St.', '222 Second St.', '555 Fifth St St', '111 First St.', '666 Sixth', '888 Eighth St.', '444 Fourth St.', '999 Ninth St.') AND statement.due_dt = '1999-10-03 00:00:00' AND member.city = ' ' AND payment.payment_dt LIKE '%1999-10-03%' AND (region.country = 'Sw' OR region.country = 'Ca' OR region.country != 'Ke') GROUP BY region.mail_code, member.mail_code, member.state_prov HAVING AVG(provider.region_no) >= 7.76 ORDER BY region.mail_code, member.mail_code, member.state_prov;"
credit,411,32.445262,8.325670,24.119593,1,1,1,0,"SELECT region.region_name, category.category_code, MIN(charge.member_no) as agg_0, MAX(provider.region_no + charge.charge_amt) as agg_1 FROM charge JOIN member ON charge.member_no = member.member_no JOIN region ON member.region_no = region.region_no JOIN provider ON region.region_no = provider.region_no JOIN category ON charge.category_no = category.category_no  WHERE member.prev_balance <= 0.0 AND member.expr_dt LIKE '%2000-10-12%' AND (region.city = 'Brussels' OR region.city = 'Beijing') GROUP BY region.region_name, category.category_code ORDER BY region.region_name, category.category_code LIMIT 100;"
